name,roaster,roast,loc_country,origin,100g_USD,rating,mes,ano,preco_qualidade,idade_cafe,avaliacao_rating,classificacao_preco
Ethiopia Shakiso Mormora,Revel Coffee,Medium-Light,United States,Ethiopia,4.7,92,November,2017,0.051086956521739134,7,High,barato
Ethiopia Suke Quto,Roast House,Medium-Light,United States,Ethiopia,4.19,92,November,2017,0.04554347826086957,7,High,barato
Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Medium,United States,Ethiopia,4.85,94,November,2017,0.05159574468085106,7,High,barato
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,Ethiopia,5.14,93,November,2017,0.055268817204301074,7,High,barato
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium-Light,United States,Ethiopia,3.97,93,November,2017,0.04268817204301076,7,High,barato
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-Light,United States,Ethiopia,5.14,93,November,2017,0.055268817204301074,7,High,barato
Organic Ethiopia Kirite,Wonderstate Coffee,Medium-Light,United States,Ethiopia,5.29,93,November,2017,0.05688172043010753,7,High,barato
Ethiopia Sidama,Reunion Island Coffee,Medium,Canada,Ethiopia,3.76,94,November,2017,0.04,7,High,barato
Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,Ethiopia,5.73,90,November,2017,0.06366666666666668,7,Medium,intermediario
Ethiopia Yirgacheffe Washed G1,A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,92,November,2017,0.07467391304347826,7,High,caro
Ethiopia Yirgacheffe Natural G1,A.R.C.,Medium-Light,Hong Kong,Ethiopia,6.87,91,November,2017,0.0754945054945055,7,High,caro
Ethiopia Awassa,Paradise Roasters,Medium-Light,United States,Ethiopia,5.28,93,November,2017,0.0567741935483871,7,High,barato
Kenya Kirinyaga Mukangu AB,Kakalove Cafe,Medium-Light,Taiwan,Kenya,4.6,95,November,2017,0.04842105263157894,7,High,barato
Kenya Nyeri Othaya Gatugi Red Cherry Project AA,Jackrabbit Java,Medium-Dark,United States,Kenya,5.29,92,November,2017,0.0575,7,High,barato
Ethiopia Washed Yirgacheffe Adado,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,3.89,95,November,2017,0.040947368421052635,7,High,barato
Kenya Mutungati,Propeller Coffee,Medium-Light,Canada,Kenya,4.65,94,November,2017,0.04946808510638298,7,High,barato
Guatemala El Retiro del Quisaya,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.58,93,November,2017,0.06,7,High,intermediario
Kamwangi Kenya,Lexington Coffee Roasters,Medium-Light,United States,Kenya,5.86,93,November,2017,0.06301075268817205,7,High,intermediario
Ethiopia Gelana Abaya,Big Creek Coffee Roasters,Medium-Light,United States,Ethiopia,4.41,92,November,2017,0.04793478260869565,7,High,barato
Ethiopia Bishan Fugu,Noble Coffee Roasting,Light,United States,Ethiopia,5.58,93,November,2017,0.06,7,High,intermediario
Ethiopia Amaro Gayo Natural,Ben's Beans,Medium-Light,United States,Ethiopia,4.98,92,November,2017,0.0541304347826087,7,High,barato
Static Colombia Decaf Midnight,Espresso Republic,Medium,United States,Colombia,4.98,89,December,2017,0.05595505617977529,7,Medium,barato
Diima #9 Ethiopia Natural,Roast House,Medium-Light,United States,Ethiopia,7.35,93,December,2017,0.07903225806451612,7,High,caro
Kenya Thaitu,Good Folks Coffee,Medium-Light,United States,Kenya,6.47,95,December,2017,0.06810526315789474,7,High,caro
Yule Blend 2018,Flight Coffee Co.,Medium-Light,United States,Kenya,4.41,94,December,2017,0.04691489361702128,7,High,barato
Ethiopia Banko Gotiti Natural G1,Green Stone Coffee,Light,Taiwan,Ethiopia,8.44,94,December,2017,0.08978723404255319,7,High,caro
Kenya AB Muchoki,Klatch Coffee,Medium-Light,United States,Kenya,5.86,95,November,2017,0.06168421052631579,7,High,intermediario
Colombia Nariño Duende,Paradise Roasters,Medium-Light,United States,Colombia,4.98,93,November,2017,0.053548387096774196,7,High,barato
Finca Merced Guatemala,Chocolate Fish Coffee Roasters,Light,United States,Guatemala,5.0,93,December,2017,0.053763440860215055,7,High,barato
El Peñon Nicaragua,Barrington Coffee Roasting,Light,United States,Nicaragua,5.28,94,December,2017,0.05617021276595745,7,High,barato
Static Kenya Kavutiri,Espresso Republic,Medium-Light,United States,Kenya,7.35,92,December,2017,0.07989130434782608,7,High,caro
